id,Pos,GS,FGptg,X3Pptg,PF,PTS,AST,Salary
130,PG,7,0.426,0.214,3.2,8,5.9,283367
131,SG,29,0.362,0.266,2.6,10,1.8,507336
132,PF,61,0.434,0,3.95,10.5,1.3,8280000
133,SG,7.25,0.407,0.28425,3.1,14.65,2.2,2189122.625
134,PG,0,0.389,0.385,3.2,7.9,5.1,1029873
135,SG,65.3,0.4437,0.3163,2.2,25.57,5.17,22930682.2
136,SF,10.5,0.4035,0.305,4.125,8.275,2.35,4654501.25
137,SF,8,0.424833333,0.355166667,2.2,14.73333333,1.983333333,2162994.667
138,SF,1,0.349,0.3135,2.2,8.9,1,1174860
139,C,0,0.425,0.2795,5.35,13.95,1.4,780000
140,PG,55.5,0.374,0.324,2.1,14.75,5.75,2493660
141,SG,9.75,0.42725,0.356,3.125,15.875,2.95,2357049
142,PG,1,0.354,0.167,2.8,7.1,4.8,641748
143,PG,1,0.25,0.185,6.7,7.4,5.1,398762
144,SF,49.55555556,0.435444444,0.356555556,2.655555556,16.23333333,2.566666667,7381171.889
145,C,1,0.5005,0,5.9,14.25,1.45,1299381
146,SG,38,0.43275,0.306,1.65,13.4,2.175,1310027
147,SF,27.625,0.382375,0.3505,2.3375,11.9375,1.2625,2533468.125
148,PG,0,0.45,0.636,0.9,15.2,4.1,48028
149,C,39.875,0.5345,0.025,3.6625,15.275,1.6625,6998407.25
150,SG,4.142857143,0.421285714,0.225142857,3.928571429,15.55714286,6.828571429,2448247.571
151,PF,0,0.385,0.25,6.2,14.2,1.4,1404360
152,SF,0,0.333,0.667,4.7,15.7,0,1458360
153,SG,0,0.421,0.256,4.3,10.4,6.3,816482
154,PG,47.4,0.4701,0.379,2.18,12.47,8.23,6636830.9
155,SG,61.5,0.3985,0.332,2.75,12.6,1.4,2712780
156,PF,52.28571429,0.437857143,0.148714286,3.114285714,9.614285714,2.714285714,9538202.857
157,PG,21,0.386,0.37,3.2,16.6,3.8,816482
158,C,0,0.483,0,5.6,12.8,0.8,1189200
159,C,0,0.485,0,7.9,13.6,1.2,473604
160,SF,1.428571429,0.386857143,0.358857143,5.471428571,9.114285714,2.714285714,4628237.429
161,SF,9.6,0.4204,0.353,3.3,13.84,1.1,1230068.2
162,SF,35.75,0.4215,0.18925,3.45,10.925,2.1,1773770
163,SG,10.5,0.34775,0.281625,3.7125,11.6,2.1375,3648500
164,PG,14.5,0.407333333,0.2865,3.433333333,8.616666667,6.433333333,1193678.833
165,PG,66.5,0.4005,0.2495,3,16.8,7,2250480
166,SG,49.4,0.4228,0.3628,3.23,18.82,3.73,12207088.7
167,PG,46.33333333,0.433,0.321666667,3.033333333,18,6.533333333,6625000
168,SF,19.16666667,0.427666667,0.355666667,2.75,13.53333333,2.05,1342006.167
169,C,0,0.3735,0,4.7,9.45,0.2,4855612.5
170,PG,54.71428571,0.422,0.36,3.485714286,11.42857143,4.885714286,2618269.857
171,C,60.6,0.6181,0,3.59,10.84,0.95,11961145.1
172,SF,48.14285714,0.443714286,0.335428571,3.514285714,15.88571429,1.971428571,3526219
173,SF,0,0.389,0,3.1,7.4,1.5,1760000
174,PG,0,0.263,0.222,5.2,7.8,4.2,25000
175,SF,4.333333333,0.493833333,0.293333333,2.266666667,10.35,2.05,4841673.833
176,SG,3.5,0.32,0.0835,3.35,5.4,3.1,4966535.5
177,PF,9,0.391166667,0.2265,3.466666667,11.25,1.266666667,1729598.667
178,SG,0,0.345,0.333,3.7,10.7,2.3,816482
179,PG,38,0.448,0.314,2.7,17.1,5,507336
180,SF,5.333333333,0.415666667,0.333,4.033333333,9.633333333,1.566666667,1333333.333
181,PG,11.33333333,0.342,0.161333333,3.366666667,11.66666667,6.5,5404121.333
