id,Pos,GS,FGptg,X3Pptg,PF,PTS,AST,Salary
795,PF,1.166666667,0.404,0.166666667,5.333333333,11,1.333333333,812759.6667
796,PF,66,0.47,0.235444444,2.688888889,18.91111111,2.155555556,15074074
797,C,10,0.4126,0,4.22,5.2,0.8,5450848.6
798,SG,0,0.429,0.25,0,12,4.5,600000
799,SG,5,0.386,0.414,4.3,14.7,2.2,412718
800,C,2,0.542,0,5.2,11.8,0.8,3000000
801,SG,35.71428571,0.423428571,0.336857143,1.485714286,19.7,2.614285714,13172643.71
802,SG,18.44444444,0.435111111,0.397222222,2.377777778,16.16666667,2.744444444,4657056.444
803,PF,4.5,0.3885,0,5.45,11.85,1.7,970874
804,PF,0,0.8,0,2.1,16.9,0,475000
805,C,2,0.349,0,6.6,4.9,1.9,396905
806,SG,0,0.2,0.143,9.2,9.2,1.7,400000
807,PF,1.5,0.494,0,6.7,6.1,1.15,235241
808,SG,59.44444444,0.428888889,0.374666667,2.4,17.18888889,2.6,9755082.778
809,SF,0,0.286,0.353,2.3,14.3,1.2,769431
810,SF,37.875,0.3455,0.335625,2.725,10.725,1.8625,5993487.5
811,PG,40.5,0.4303,0.3402,3.05,12.75,6.08,4231387.8
812,PG,15,0.3885,0.345,3.35,11.9,3.75,2288700
813,PG,0.333333333,0.414,0.401,3.033333333,15.8,2.066666667,487818
814,SG,40.5,0.4715,0.2005,5.3,6.6,1.7,1135860
815,PG,19,0.408666667,0.355666667,2.6,14.23333333,5.166666667,1331492
816,PF,9,0.4535,0,5.45,10.3,1.05,531485.5
817,SF,18,0.43,0.095,3.9,11.7,2.1,641748
818,C,7,0.3995,0.361,3.85,9.15,1.8,2050000
819,PG,10.6,0.4166,0.3583,3.93,17.27,4.78,2468378.1
820,PF,1.333333333,0.465333333,0,4.766666667,13.1,1.5,3526480
821,PG,5.5,0.41075,0.313,3.275,11.5,7.975,1167458.75
822,PG,57.77777778,0.462111111,0.256666667,2.488888889,11.95555556,9.277777778,6753653.778
823,PG,56.5,0.433833333,0.292166667,1.483333333,20.45,6.383333333,9840451.833
824,SF,0,0.442,0.447,3.2,15.8,2.3,16141500
825,PF,13.33333333,0.379666667,0.512,5.266666667,10.4,2.366666667,6878465.667
826,SF,28.6,0.4206,0.2008,3.66,7.58,1.66,859734.2
827,SF,41.66666667,0.413333333,0.366333333,2.966666667,14.06666667,1.433333333,2678640
828,SG,50,0.4295,0.292833333,1.933333333,17.06666667,4.9,7923393.5
829,PG,45.5,0.3635,0.30475,2.9,11.65,9.275,4073511.5
830,SF,2,0.452,0.406,2.7,11.1,1.8,1100000
831,PF,1.5,0.3845,0,6.15,4.35,0.8,1412342
832,SG,15,0.424571429,0.300571429,3.128571429,11.45714286,1.8,2557816
833,SG,10.25,0.374,0.34325,3,11.225,2.225,1329135.25
834,SF,0,0,0,0,0,12,1138500
835,PG,0,0.347,0.308,2.9,8.5,5.8,374289
836,C,11.33333333,0.421333333,0,4.966666667,9.666666667,1.5,725906.3333
837,SF,43.11111111,0.424666667,0.348111111,2.533333333,12.28888889,3.177777778,5440444.556
838,C,0,0.469,0,6.15,7.3,0.2,612372
839,C,1.5,0.6785,0,4.75,8.05,3,745352
840,SF,32,0.422,0.244,4.3,12.3,2.5,507336
841,C,3.666666667,0.426,0,4.966666667,12.73333333,1.1,534650.3333
842,C,22.6,0.473,0,5.5,11.4,1.32,3927801.6
843,SG,0,0.485,0.667,6.4,13.1,1,24315
844,PF,5.428571429,0.407142857,0.277857143,4.814285714,7.842857143,2.457142857,2511633.714
845,SG,0,0,0,0,0,0,24315
846,C,0,0.304,0,7.6,5.8,0.3,55000
847,PG,5,0.405,0.2945,3,14.25,6.35,1519440
848,PF,53.5,0.4955,0.097625,3.875,17.025,2.325,6384956
849,PF,2.333333333,0.466333333,0.218,2.9,17.7,1.766666667,1531936.333
850,SF,47.25,0.438875,0.346,2.9,9.2,2.3375,3055508.5
851,PG,0,0.31,0.15,3.45,10.9,3.5,656097.5
852,C,1,0.497333333,0,4.9,17.83333333,0.2,2105520
853,C,6.2,0.4918,0,5.54,13.68,1.12,2340177.2
854,PG,17.125,0.43025,0.27775,2.1125,15.3,6.7125,3139955
855,C,4,0.581,0,7,7.5,0.2,641748
856,PG,0,0.356,0.1,3.4,11.5,5.7,89670
857,PF,0,0.364,0,5.4,14.4,0,442114
858,SF,0,0.4495,0.25,4.25,9.2,2.25,631238
859,SG,40.75,0.39625,0.34575,3.575,10.9,2.925,1891053.75
860,SG,8.333333333,0.363333333,0.309,2.2,15.66666667,4.766666667,3122222
861,C,0,0.548,0,7.1,16,1.1,473640
862,PF,1,0.437,0,5.55,10.8,1.05,900240
863,SF,23.5,0.332166667,0.311333333,3.916666667,9.4,2.166666667,6518242.333
864,PF,1.333333333,0.381,0,3.933333333,8.066666667,0.566666667,1629120
865,C,0,0.25,0,4.65,8.3,1.65,148389
866,C,32,0.474,0.182,3.5,15.1,2,915243
867,SF,20.66666667,0.375666667,0.302666667,4.266666667,9.166666667,1.166666667,1566680
868,PF,5.333333333,0.468333333,0.346333333,4.433333333,10.2,1.233333333,708756.3333
869,SF,56,0.420333333,0.376666667,3.3,11.1,1.4,1045000
870,PG,2,0.365,0.4,5.3,10.7,3.4,442114
871,C,11,0.300666667,0.111166667,4.716666667,5.483333333,0.533333333,1568888.333
872,PG,11,0.394333333,0.210333333,1.733333333,10.86666667,5.5,677028.3333
873,C,0,0.538,0.5,5.5,19,0.5,412718
874,PG,38,0.367,0.335,3.5,10.4,4.1,3283320
875,SG,4,0.417,0.395,4.8,13.7,1.5,771123
876,PF,8.166666667,0.547,0.033333333,4.983333333,15.75,1.716666667,1565475.667
877,SG,0,0.556,0.5,5.7,10.8,2.6,641748
878,PF,3,0.62775,0,6.5,10.65,0.55,724096
879,PG,4.4,0.3844,0.2544,2.34,10.36,6.6,976175.6
880,C,13.71428571,0.462571429,0.157,4.7,12.98571429,1.5,2231233.286
881,PF,9.833333333,0.4095,0.095333333,4.816666667,12.16666667,1.433333333,4302306
882,PF,70.6,0.4556,0.2582,3.03,16.52,3.55,9264654.3
883,SG,16.2,0.4251,0.3769,3.16,18.21,3.02,3933979
884,PG,2,0.37,0.2515,3.45,12.4,4.25,1355940
885,PG,0,0.32,0.182,7.2,16.6,4.4,816482
886,PF,0,0.25,0,5.1,6.4,0,161061
887,SF,17,0.4065,0.3455,2.35,10.6,1.8,1440720
888,PG,44,0.328,0.033333333,3.433333333,5,5.5,6093750
889,SF,23,0.4525,0.3035,3.1,13.6,2.65,1487340
890,PG,9,0.429,0.326,3.6,13.3,6.7,711517
891,C,8.5,0.492666667,0.0945,5.333333333,12.8,2.083333333,3895166.667
892,C,12.5,0.382,0,4.65,9.8,1.3,693149.5
893,SG,0,0.319,0.172,4.4,11.3,3.7,1800000
894,C,10.42857143,0.472142857,0.190857143,5.171428571,18.22857143,1.371428571,2721942.143
895,C,30.2,0.5576,0,3.7,15,2.18,6053200
896,SF,4.25,0.364125,0.302375,1.9625,13.725,2.95,4626216.625
897,SG,1,0.365,0.322,2.9,10.2,2.1,2745840
898,SG,35.2,0.4072,0.1972,3.02,11.34,4.8,2487000
899,SG,50.5,0.3685,0.30425,2.175,9.8875,2.5875,2638897.625
900,C,10.5,0.5815,0,6.625,7.5,1.275,1748569.75
901,PG,0,0.333,0.5,1.1,8.7,9.8,29843
902,SF,48,0.424,0.403166667,1.866666667,16.51666667,1.466666667,11902720
903,PF,2,0.568,0,7.1,16.3,1.1,725000
904,PG,1,0.7095,0.091,4.35,8.1,5,617899.5
905,SG,0.5,0.414,0.2145,6.25,13.05,1.7,676632.5
906,PF,45.6,0.527,0.143,3.73,21.73,1.35,16048533.9
907,PG,37,0.381333333,0.339666667,2.3,11.8,6.066666667,4235479.333
908,PG,0.333333333,0.397333333,0.360666667,3.166666667,17.16666667,2.266666667,729000
909,SG,0,0.315,0.24,4.8,9.7,4,427163
910,PG,37.625,0.424375,0.28525,2.8125,16.6375,4.7375,4319633.875
911,PF,32.66666667,0.453,0.250666667,4.7,15.3,2.2,1365720
912,SF,2.333333333,0.397,0.366333333,4.566666667,12.33333333,1.166666667,507640
913,C,22,0.4415,0,6.8,15,2.15,2406938
914,C,11.33333333,0.463,0,5.433333333,8.366666667,0.533333333,2648241.333
915,PF,6.75,0.4735,0.25,5.75,14.275,0.75,5600000
916,SF,0,0.333,0,1.7,12,3.4,473604
917,SF,24.25,0.44575,0.40975,2.45,16.825,2.275,12081250
918,C,0,0.605,0,6.2,11.7,0.5,423762
919,SG,1,0.395,0.2055,3.45,11.55,3.95,531485.5
920,SG,6,0.429,0.269,2.35,15.9,2.15,752935.5
921,SF,16.66666667,0.400666667,0.306333333,3.233333333,11.26666667,1.533333333,759705
922,PF,7.5,0.377,0,5.45,10.5,1.65,8832959
923,PG,5,0.412,0.325,3.9,13.5,4.9,500000
924,PG,1.5,0.3545,0.356,4,12.85,4.1,631238
925,PG,50.83333333,0.443166667,0.327833333,2.75,15.31666667,6.716666667,3810619.5
926,SG,1.5,0.35,0.226,4,8.9,5.25,1051560
927,PF,3.666666667,0.394666667,0.351333333,3.5,14.43333333,1.7,3229050
928,PG,18.55555556,0.389555556,0.314,3.644444444,12.75555556,5.733333333,1946067.667
929,SG,18,0.389666667,0.302333333,3.566666667,8.666666667,3.466666667,823375.3333
930,SG,27,0.4421,0.3836,2.17,16.21,3.95,8100679.3
931,C,4,0.5412,0,6.96,7.06,0.3,3355968
932,SF,0,0.235,0.25,3.4,12,0,775426
933,C,9.8,0.5048,0,4.56,10.8,0.58,5342853.2
934,PG,38.5,0.44025,0.36475,2.8,19.775,5.9,2339674.5
935,PF,0,0.526,0,8.4,6.7,0.2,148698
936,C,0,0.4,0,4.8,4.3,0.6,282118
937,PF,22.6,0.4538,0,4.32,6.48,1.7,7780000
938,PF,23.8,0.4924,0.2,4.88,8.64,1.46,4758745
939,SF,6.333333333,0.391333333,0,4.066666667,7.633333333,1.4,658310.6667
940,PF,0,0.225,0,1.6,5.4,1.85,288552
941,SF,20.5,0.43025,0.36825,3.925,15.5,2.5,6167413.75
942,PF,18,0.505714286,0.172571429,4.157142857,14.72857143,2.085714286,5984789.857
943,SF,0,0.42,0.182,3.2,17.8,1.1,243931.5
944,SG,23,0.413,0.401,2.9,12.7,1.7,816482
945,PF,57.85714286,0.498428571,0.014285714,4.171428571,12.61428571,1.528571429,3720042
946,SG,67.25,0.443,0.41775,2.775,19.6,2.7,2451580
947,SG,3,0.292,0.364,3,6.8,2.7,168035
948,PF,51,0.48775,0,3.1,12.65,0.95,4233277.5
949,C,0,0.393,0.308,3,17.2,0.9,473604
950,SF,48,0.449333333,0.313,3.333333333,15.63333333,1.533333333,1776240
951,SG,21,0.425333333,0.3635,2.2,18.51666667,2.033333333,5395013.833
952,PG,34,0.38725,0.252,3.225,12.075,7.6,5935075
953,PF,9.142857143,0.396,0.331857143,3.071428571,10.72857143,1.728571429,1402580
954,C,13,0.5045,0,5,10.2,0.55,2900000
955,SF,0.333333333,0.41,0.247,1.866666667,17.73333333,1,1001840
956,SF,47.25,0.4605,0.2615,3.375,11.075,1.8,1939801.5
957,C,11.55555556,0.491555556,0,4.311111111,8.222222222,2.633333333,2509017.333
958,SF,46.22222222,0.406222222,0.354222222,3.222222222,13.46666667,3.955555556,7755021.111
959,SG,45.8,0.4288,0.301,2.72,13.34,4.48,4960301.4
960,C,7.666666667,0.437666667,0,5.633333333,12.6,0.733333333,798829.3333
961,PF,10.4,0.432,0,4.72,8.24,1.58,3067102.4
962,SF,16,0.3768,0.278,3.42,9.14,2.26,785363.4
963,PG,28.44444444,0.456222222,0.341,2.611111111,13.72222222,5.611111111,3642027.111
964,PG,0,0.4235,0.2135,2.65,13.5,5.35,776616
965,PG,4,0.389,0.1875,2.7,10.45,5.8,267518.5
966,C,72.66666667,0.553333333,0,4.1,14.83333333,0.9,3610840
967,PG,2,0.397,0.357,2.2,13,4.5,1138500
968,SF,0,0.424,0.368,4,15.6,1.2,15694250
969,C,20.8,0.5142,0.02,3.7,11.3,1.82,6134383.9
970,PF,0,0.5145,0,6.4,7.75,1.65,549054
971,PG,33.5,0.41975,0.33275,2.975,12.825,7.2,2435200
972,PG,4.75,0.4025,0.49175,3.475,8.7,5.4,1162000
973,PF,8.333333333,0.517,0,5.733333333,8.5,1.433333333,3233640
974,PF,15.9,0.4252,0.335,3.85,18.18,1.37,5007861.9
975,SF,0,0.4585,0.423,2.8,11.15,1.35,550087
976,PF,0,0.395,0.385,2.8,11.5,0.6,2524200
977,C,3,0.4105,0.08325,7.625,9.3,1.4,1940913.25
978,PF,2,0.394,0,6.9,6.5,1,682051
979,C,55.75,0.49975,0.177,3.625,15.775,1.9,1989745
980,SG,4.333333333,0.397166667,0.365833333,3.7,12.76666667,2.766666667,3106885.167
981,SG,63.9,0.4955,0.2737,2.28,24.5,5.88,13085110.6
982,SG,2.6,0.261,0.1862,2.42,10.12,1.6,587158.6
983,SG,0,1,1,5.1,20.6,5.1,771331
984,SG,31.66666667,0.413666667,0.325,2.5,17.63333333,3.366666667,3894280
985,PF,11.66666667,0.398333333,0.319,3.233333333,14.8,2.366666667,7605486.667
986,SF,4.666666667,0.469,0.242333333,5.533333333,12.8,1.833333333,503975
987,PG,59.5,0.39175,0.316,1.725,17.625,5.825,2682432.75
988,PF,0,0,0,11.5,3.3,0,364223
989,C,56.5,0.465666667,0.158333333,2.2,5.5,1.883333333,7272140.833
990,SF,52.33333333,0.468888889,0.312666667,2.488888889,13.21111111,2.544444444,8666016.111
991,C,50.66666667,0.416666667,0.336666667,3.716666667,15.03333333,1.7,9364363.5
992,PG,66.6,0.4302,0.257,2.4,17.78,8.62,7759233
993,SG,0,1,0,0,24,0,38904
994,PF,18.71428571,0.407,0.327285714,2.957142857,9.428571429,5.114285714,3890909
995,SF,1,0.528,0.238,3,14.4,1.5,1953120
996,PG,0,0.371,0.333,4.3,9.9,7.3,500000
997,PF,13.5,0.47125,0.10275,3.2875,16.25,1.5,2653492.75
998,SG,0,0.438,0.333,3.9,13.1,3.7,154847
999,C,0,0.333,0,4.1,6.1,0,109461
1000,PG,12.14285714,0.423,0.372571429,2.514285714,13.41428571,4.528571429,1780030.429
1001,PG,21.88888889,0.378444444,0.291111111,3.644444444,8.7,7.222222222,4269862.444
1002,PG,1,0.295,0.226,4.6,13.5,4.8,217301
1003,PF,0,0,0,5.1,0,5.1,29843
1004,SF,1,0.402,0.367,2.9,10.7,2.1,507336
1005,SG,9.5,0.4115,0.356,2.85,9.1,2.9,838710
1006,PF,47.66666667,0.456666667,0.212333333,3.466666667,14.13333333,4,18996065.67
1007,SF,26.6,0.3631,0.3285,2.47,11.54,1.34,3924324.3
1008,SF,15.66666667,0.426333333,0.137333333,3.566666667,13.3,2.433333333,677641
1009,SG,16.33333333,0.439,0.201666667,3.566666667,14.53333333,2.4,4133066.667
1010,SF,2,0.387,0.286,2.7,10.4,2.6,2177114
1011,SG,32,0.348,0.301,3.25,9.1,3.45,3410000
1012,PG,70,0.430857143,0.296857143,2.585714286,22.78571429,7.571428571,8633024.857
1013,PF,71.4,0.4899,0.2454,2.75,17.81,2.62,8526109.8
1014,PG,35.85714286,0.449714286,0.364142857,2.371428571,12.61428571,4.785714286,2042910.857
1015,SG,2,0.470666667,0.333333333,6.4,7.1,2.166666667,528473.3333
1016,C,0,0.404,0,7,8.3,2.9,398762
1017,PF,2.75,0.53625,0.25,3.05,15.75,1.575,1067763.75
1018,C,10.66666667,0.357333333,0,14.7,9.133333333,0.066666667,754171
1019,SF,9,0.435,0.3135,2.7,11.7,1.85,836271
1020,PF,0,0,0,8,0,0,1719480
1021,PF,0,0.452,0.167,6,19,2,507336
1022,SF,82,0.437,0.31,2.3,16.8,2.1,5510640
1023,C,27.42857143,0.567571429,0,4.628571429,14.01428571,1.257142857,4264597.286
1024,SG,0,0.421,0.368,2.5,14.6,2.9,1109760
1025,SG,17.75,0.42925,0.31125,3.175,11.4375,2.5375,2202269.875
1026,PG,1,0.4405,0.38325,3.175,9.525,3.425,487175
1027,C,5.666666667,0.518333333,0,5.666666667,8.533333333,0.866666667,2338333.333
1028,PG,0,0,0,0,5.4,5.4,5443754
1029,PF,0.5,0.4635,0.5,5.25,14.6,1.25,6250000
1030,PG,66.4,0.4447,0.3592,2.65,17.44,8.61,11533877.6
1031,PF,25.66666667,0.429666667,0.304666667,2.133333333,15.83333333,1.033333333,5293988
1032,SG,0,0.439,0.37,3.95,16.25,2.5,782076
1033,SF,5.5,0.3955,0.3495,4.6,12.7,1.8,4117000
1034,PG,36.4,0.4022,0.3414,1.48,11,6.04,5586720
1035,SF,2.333333333,0.378333333,0.315,3.4,14.03333333,1.2,434178.3333
1036,C,5,0.507,0,3.5,11.2,0.6,473604
1037,C,0.5,0.531,0,5.25,12.1,0.1,562090
1038,SG,5.4,0.4214,0.329,2.21,17.9,4.52,3720831.9
1039,PG,43.1,0.4328,0.3785,2.94,16.54,6.04,6134500
1040,PF,51.7,0.4427,0.3014,2.66,12.93,1.63,6266054.3
1041,PG,2.5,0.34825,0.32275,2.65,11.725,7.075,1098947.25
1042,SF,4.4,0.4516,0.3056,2.46,15.86,2.96,1389541.2
1043,PF,9.666666667,0.461333333,0,6.333333333,9.2,0.766666667,1522880
1044,PG,0,0.407,0.4,2.1,9.8,3.2,1750000
1045,C,17.33333333,0.467,0.083333333,4.766666667,10.93333333,1.05,2042811.5
1046,SF,7.5,0.382833333,0.29,4.25,11.41666667,1.316666667,1587379.167
1047,SF,2.25,0.42475,0.316,2.375,13.25,4.475,1735084
1048,C,0,0.5,0,3.6,13.6,1.5,816482
1049,PG,0,0.351,0,2.6,6.1,3.1,912538
1050,C,4,0.475,0,5.4,6.9,0.4,780000
1051,SF,16,0.508,0.367,3.4,11.7,1.7,599834
1052,SG,16,0.359166667,0.2195,3.766666667,8.433333333,1.466666667,1602685
1053,SG,0,0.406,0.3265,1.6,14.6,2.05,531485.5
1054,PF,7.6,0.5828,0,3.22,15.16,1.02,3643694.4
1055,SF,1,0.511,0,4.3,13.5,0.8,473604
1056,SF,22.2,0.4255,0.3232,2.69,12.89,2.27,2754638.1
1057,SF,10,0.503,0.26125,2.175,10.775,2.175,2116714.25
1058,C,23,0.3955,0,5.8,6.425,1.05,3865568.75
1059,PG,10.33333333,0.404666667,0.241333333,3.5,17.2,5.466666667,1160080
1060,SG,0,0.353,0.258,2.4,11.4,1.4,1674480
1061,SG,16.375,0.419875,0.376375,3,18.525,1.6375,2854590.25
1062,SG,13,0.41725,0.2845,2.75,12.075,1.65,845429
1063,PF,45.25,0.500375,0.286375,2.6,16.225,1.7125,5322967.75
1064,SG,0,0.273,0,12.9,7.7,2.6,442114
1065,C,24,0.4435,0.5,4.05,11.95,2.35,3943800
1066,C,0,0.346,0.2,3.1,11.8,1.9,473604
1067,C,41,0.508333333,0,4.466666667,13.93333333,1.766666667,1633440
