player_id,positions,height,weight,shoots,team,birthday,birthyear,birth_place,debut_date,experience
lawsoty01,['Point Guard'],5-11,195,Right,Sacramento Kings,November 3,1987,"Clton, Maryland","October 28, 2009",7
okurme01,"['Center', 'Power Forward']",6-11,249,Right,,May 26,1979,"Yalova, Turkey","November 1, 2002",
artesro01,['Small Forward'],6-6,260,Right,Los Angeles Lakers,November 13,1979,"Queensbridge, New York","November 3, 1999",16
batumni01,"['Small Forward', 'Shooting Guard']",6-8,200,Right,Charlotte Hornets,December 14,1988,"Lisieux, France","October 28, 2008",8
bynuman01,['Center'],7-0,285,Right,,October 27,1987,"Plasboro, New Jersey","November 2, 2005",
roybr01,['Shooting Guard'],6-6,215,Right,,July 23,1984,"Seattle, Washgton","November 1, 2006",
barnema02,"['Small Forward', 'Power Forward']",6-7,226,Right,Sacramento Kings,March 9,1980,"Santa Clara, California","January 19, 2004",13
willilo02,"['Point Guard', 'Shooting Guard']",6-1,175,Right,Los Angeles Lakers,October 27,1986,"Memphis, Tennessee","November 2, 2005",11
ellismo01,['Shooting Guard'],6-3,185,Right,Indiana Pacers,October 26,1985,"Jackson, Mississippi","November 12, 2005",11
willima01,"['Point Guard', 'Shooting Guard']",6-1,198,Right,,December 19,1982,"Jackson, Mississippi","November 1, 2003",
bassbr01,"['Power Forward', 'Center']",6-8,250,Right,Los Angeles Clippers,April 30,1985,"Baton Rouge, Louisiana","November 1, 2005",11
hasleud01,"['Power Forward', 'Center']",6-8,235,Right,Miami Heat,June 9,1980,"Miami, Florida","October 28, 2003",13
murphtr01,['Power Forward'],6-11,245,Left,,May 2,1980,"Morristown, New Jersey","October 31, 2001",
matthwe02,"['Shooting Guard', 'Small Forward']",6-5,220,Right,Dallas Mavericks,October 14,1986,"San Antonio, Texas","October 28, 2009",7
millemi01,"['Small Forward', 'Shooting Guard']",6-8,218,Right,Denver Nuggets,February 19,1980,"Mitchell, South Dakota","October 31, 2000",16
mingya01,['Center'],7-6,310,Right,,September 12,1980,"Shanghai, Cha","October 30, 2002",
redicjj01,"['Shooting Guard', 'Point Guard']",6-4,190,Right,Los Angeles Clippers,June 24,1984,"Cookeville, Tennessee","November 25, 2006",10
