Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary
SF,74,43,1729,4.1,9.3,0.438,1.7,4.7,0.36,2.4,4.6,0.518,0.8,1.2,0.655,0.7,2.6,3.3,2.2,0.9,0.2,1.2,3,10.6,4250000
C,53,43,1325,4,9.5,0.427,0,0,0,4,9.5,0.428,3,3.5,0.846,3.8,5.2,9,3.7,1.2,0.4,2.5,3.4,11.1,5200000
PG,65,65,2017,4.3,10.9,0.395,1.1,3.5,0.318,3.2,7.4,0.431,1.6,2.2,0.721,1,2.6,3.5,6.5,1.4,0.5,2.3,2.8,11.2,3793693
PF,82,82,2690,6.7,13.6,0.497,0,0,0,6.7,13.6,0.497,3.2,4.9,0.657,3.4,6.7,10.2,2.3,1.2,0.6,2.2,2.7,16.7,5479934
SG,76,75,2668,7.4,14.7,0.505,1.6,4,0.408,5.8,10.7,0.542,4.3,5.6,0.76,0.9,2.4,3.3,6,1.4,0.3,2.9,2.8,20.8,7500000
C,81,81,2409,4.9,11.3,0.439,0,0.1,0.4,4.9,11.2,0.439,3.1,4,0.77,3,5,8,1.4,0.4,2.7,2.2,4,13,14898938
C,22,0,395,6.9,13,0.531,0.6,1.5,0.412,6.3,11.5,0.548,2.2,2.5,0.889,3.4,7,10.4,1.4,0.9,0.6,1.5,4.8,16.7,6680000
C,22,0,395,6.9,13,0.531,0.6,1.5,0.412,6.3,11.5,0.548,2.2,2.5,0.889,3.4,7,10.4,1.4,0.9,0.6,1.5,4.8,16.7,1448000
PG,20,0,368,5.5,12.8,0.427,0.7,2.4,0.28,4.8,10.4,0.462,3,3.8,0.795,0.5,3.1,3.6,3.1,0.7,0.4,1.9,2.9,14.7,1448490
PG,10,10,311,6.7,19,0.354,1.9,5.4,0.34,4.9,13.5,0.359,3.1,3.7,0.844,1,2.7,3.7,5,0.6,0.1,3.9,1.7,18.4,18862875
PF,82,82,2312,5.2,12.1,0.432,2.5,6.7,0.37,2.7,5.4,0.509,1.2,1.5,0.821,1.1,5.3,6.5,1.5,0.9,1,1.4,3.8,14.2,8175476
