player_id,Season,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary
jeffeal01,2013,NBA,C,73,73,2553,9.9,19.4,0.509,0,0.2,0.2,9.8,19.2,0.512,2.7,3.9,0.69,2.2,9,11.2,2.2,0.9,1.1,1.7,2.5,22.5,13500000
boozeca01,2013,NBA,PF,76,76,2141,7.5,16.5,0.456,0,0,0,7.5,16.4,0.457,2.5,3.2,0.767,2.3,8.3,10.6,2,0.9,0.4,2.6,3.6,17.5,15300000
cartevi01,2013,NBA,SG,81,0,1973,6,14.8,0.407,2.7,6.8,0.394,3.4,8,0.418,2.9,3.6,0.821,1.2,4,5.2,3.9,1.1,0.6,2,3.8,17.6,3180000
martike02,2013,NBA,SG,68,68,2177,7.3,16.9,0.43,1.9,4.9,0.387,5.4,12,0.448,5,5.6,0.891,0.6,2.8,3.4,2,1.1,0.1,1.8,2,21.5,6500000
terryja01,2013,NBA,PG,35,0,570,3.5,9.6,0.362,2.5,6.5,0.379,1,3.1,0.327,0.6,0.9,0.667,0.3,2.1,2.3,3.5,0.8,0,1.7,3,10,5625313
johnsjo02,2013,NBA,SG,79,79,2575,6.5,14.2,0.454,2.3,5.6,0.401,4.2,8.6,0.489,2.2,2.7,0.815,0.7,3.1,3.8,3,0.7,0.1,1.7,1.8,17.4,21466718
gasolma01,2013,NBA,C,59,59,1970,6.1,13,0.473,0,0.2,0.182,6.1,12.8,0.477,3.4,4.4,0.768,1.5,6.2,7.7,3.9,1.1,1.4,2,2.7,15.7,14860523
randoza01,2013,NBA,PF,79,79,2705,7.5,15.9,0.467,0,0.3,0.1,7.4,15.7,0.474,3.3,4.5,0.742,3.5,7.1,10.6,2.7,0.7,0.3,2.4,2.8,18.3,17800000
noahjo01,2013,NBA,C,80,80,2820,4.9,10.2,0.475,0,0,0,4.9,10.2,0.476,3.2,4.3,0.737,3.6,7.9,11.5,5.5,1.3,1.5,2.5,3.1,12.9,11100000
millean02,2013,NBA,SG,58,2,982,3.9,8.5,0.459,0.4,0.8,0.524,3.5,7.7,0.452,2.2,2.8,0.779,1,3.7,4.8,7.2,1.2,0.3,2.2,2.7,10.4,5000000
loveke01,2013,NBA,PF,77,77,2797,8.4,18.3,0.457,2.4,6.5,0.376,5.9,11.8,0.502,6.7,8.1,0.821,2.9,9.5,12.4,4.4,0.8,0.5,2.5,1.8,25.9,14693906
wallage01,2013,NBA,SF,58,16,1416,2.9,5.8,0.504,0.5,1.6,0.297,2.5,4.2,0.584,1.2,2.6,0.465,0.9,4.5,5.4,3.6,1.9,0.4,2.5,2,7.6,10105855
horfoal01,2013,NBA,C,29,29,958,8.9,15.8,0.567,0.2,0.4,0.364,8.8,15.4,0.572,2.2,3.2,0.682,2.5,6.7,9.2,2.9,1,1.7,2.4,2.1,20.2,12000000
brandel01,2013,NBA,C,73,15,1414,4.6,8.5,0.539,0,0.1,0,4.6,8.4,0.542,1.6,2.4,0.649,2.5,6.7,9.2,1.9,1,2.2,1.5,4.9,10.7,4000000
curryst01,2013,NBA,PG,78,78,2846,8.2,17.5,0.471,3.3,7.8,0.424,4.9,9.7,0.509,3.9,4.4,0.885,0.6,3.6,4.2,8.4,1.6,0.2,3.7,2.5,23.7,9887642
westbru01,2013,NBA,PG,46,46,1412,8.8,20.2,0.437,1.7,5.5,0.318,7.1,14.7,0.482,6.2,7.5,0.826,1.4,5.3,6.7,8.1,2.2,0.2,4.5,2.7,25.5,14693906
caldejo01,2013,NBA,PG,81,81,2468,5,10.9,0.456,2.8,6.2,0.449,2.2,4.7,0.464,0.8,0.9,0.825,0.4,2.4,2.8,5.5,1,0.2,1.5,2,13.5,6791570
battish01,2013,NBA,SF,73,56,1468,2.6,6.7,0.382,1.8,5.1,0.348,0.8,1.6,0.492,0.4,0.6,0.652,0.8,2.6,3.4,1.5,1.2,1,0.5,3,7.3,3270000
griffbl01,2013,NBA,PF,80,80,2863,9,17.1,0.528,0.2,0.6,0.273,8.9,16.5,0.537,6.1,8.5,0.715,2.4,7.1,9.5,3.9,1.2,0.6,2.8,3.3,24.3,16441500
jefferi01,2013,NBA,SF,82,78,2213,4.8,10.6,0.45,2,4.9,0.409,2.8,5.7,0.484,2,2.6,0.741,0.3,3.3,3.6,2.1,0.9,0.2,1.5,2.7,13.5,11046000
korveky01,2013,NBA,SG,71,71,2408,4.3,9.1,0.475,2.8,5.9,0.472,1.6,3.2,0.479,1.3,1.4,0.926,0.3,3.9,4.2,3.1,1,0.4,1.5,2.2,12.7,6760563
smithjo03,2013,NBA,SF,77,76,2730,6.8,16.3,0.419,0.9,3.5,0.264,5.9,12.8,0.462,2.1,4,0.532,1.3,5.5,6.9,3.3,1.4,1.5,2.6,2.6,16.7,13500000
grangda01,2013,NBA,SF,41,2,847,4.9,13,0.378,1.8,5.4,0.336,3.1,7.6,0.408,2.7,2.8,0.94,1.3,4.3,5.7,1.7,0.5,0.7,2,2.6,14.4,14021788
lowryky01,2013,NBA,PG,79,79,2862,5.7,13.6,0.423,2.4,6.3,0.38,3.4,7.3,0.46,3.9,4.8,0.813,1.1,3.5,4.6,7.4,1.5,0.2,2.4,3.4,17.8,6210000
hilarne01,2013,NBA,PF,53,37,1560,6.9,13.7,0.503,0,0.1,0.2,6.9,13.6,0.506,3.6,6.1,0.583,1.5,5.3,6.8,3.5,1.5,1.1,2.7,3.8,17.4,13000000
jamisan01,2013,NBA,PF,22,0,248,4.2,13.4,0.315,1.2,6,0.195,3,7.4,0.412,2.6,3.6,0.72,1.3,6.7,8,1,1.3,0.4,1,4.2,12.2,1399507
lewisra02,2013,NBA,SF,60,6,971,3.6,8.7,0.415,1.7,5,0.343,1.9,3.8,0.51,1,1.2,0.788,0.9,3.2,4.1,2.1,2,0.3,1.3,3.3,9.9,1399507
conlemi01,2013,NBA,PG,73,73,2446,6.8,15.2,0.45,1.5,4.3,0.361,5.3,10.9,0.484,3.3,4.1,0.815,0.6,2.5,3.1,6.5,1.6,0.2,2.2,2.1,18.5,8000001
rondora01,2013,NBA,PG,30,30,998,5.1,12.6,0.403,0.9,3.2,0.289,4.1,9.4,0.442,1.5,2.4,0.627,0.8,5.1,5.9,10.6,1.4,0.1,3.6,2.3,12.6,11954545
diawbo01,2013,NBA,PF,79,24,1974,5.5,10.6,0.521,0.8,2,0.402,4.7,8.5,0.549,1.2,1.7,0.739,1.3,4.6,5.9,4,0.8,0.6,2.2,2.6,13.1,4702500
princta01,2013,NBA,SF,76,76,1948,3.7,9.1,0.407,0.4,1.3,0.29,3.3,7.8,0.426,0.6,1.1,0.567,0.6,3.7,4.3,2.2,0.7,0.4,0.8,1.2,8.4,7235955
dunlemi02,2013,NBA,SF,82,61,2584,4.6,10.8,0.43,1.7,4.5,0.38,2.9,6.3,0.467,2,2.3,0.854,0.6,4.2,4.8,2.6,0.9,0.6,1.5,2.3,12.9,3183000
bogutan01,2013,NBA,C,67,67,1769,4.8,7.6,0.627,0,0,,4.8,7.6,0.627,0.4,1.3,0.344,3.7,10,13.7,2.3,1,2.5,2,4.3,10,14000000
