Pos,GS,FGptg,X3Pptg,PF,PTS,AST,Salary
PF,10.2857142857143,0.393142857142857,0.355428571428571,5.24285714285714,14.7857142857143,1.41428571428571,2246514.85714286
SG,8.16666666666667,0.364166666666667,0.348333333333333,2.78333333333333,12.4833333333333,1.46666666666667,2168491.0
PF,0.0,0.409,0.0,9.5,11.2,0.4,187357.0
SF,8.33333333333333,0.436666666666667,0.383333333333333,4.3,18.1666666666667,1.9,2202868.0
PG,0.0,0.42,0.35,1.4,18.1,3.4,202200.0
C,65.6,0.4612,0.1484,4.52,22.0,3.04,5900276.8
SF,49.0,0.396,0.374,3.5,17.4,1.9,1150000.0
SG,9.0,0.412,0.353,3.9,8.9,2.1,862000.0
SG,19.6666666666667,0.414444444444444,0.346222222222222,1.8,19.0777777777778,3.85555555555556,6937222.22222222
SG,24.75,0.4035,0.3,2.25,17.7,4.525,1380964.75
SG,0.0,0.421,0.27,2.5,14.7,2.7,1285200.0
PF,7.0,0.4045,0.3415,3.3,13.0,2.425,4255256.5
SF,13.6666666666667,0.414333333333333,0.317333333333333,3.1,11.4333333333333,2.1,768202.0
PF,11.3333333333333,0.477,0.0295,3.33333333333333,10.7833333333333,1.15,1386954.16666667
SG,0.0,0.3575,0.405,5.7,16.95,2.5,1182360.0
C,29.8571428571429,0.575428571428572,0.142857142857143,7.37142857142857,16.1857142857143,0.357142857142857,6569451.28571429
PG,0.0,0.0,0.0,0.0,0.0,0.0,26917.0
PG,0.0,0.0,0.0,9.0,0.0,4.5,148028.0
PG,68.3333333333333,0.4735,0.442333333333333,2.76666666666667,21.2666666666667,7.05,5536186.16666667
C,58.1,0.5155,0.1,4.31,11.35,0.91,8614328.9
C,46.0,0.535,0.0475714285714286,4.21428571428571,7.5,1.15714285714286,7789927.28571429
PG,24.25,0.4345,0.28175,1.575,11.075,5.575,5600000.0
SF,14.25,0.443625,0.198625,2.7375,12.275,2.8,3928427.625
SG,0.0,0.37,0.364,3.6,16.0,2.0,816482.0
SF,1.0,0.483,0.45,2.6,18.1,1.6,1750000.0
SF,1.0,0.447,0.0,4.5,13.5,0.9,424944.0
PF,64.6666666666667,0.523333333333333,0.101666666666667,2.76666666666667,20.8333333333333,1.66666666666667,5375760.0
PG,54.7142857142857,0.402428571428571,0.310428571428571,3.08571428571429,16.8,8.18571428571429,13837454.4285714
C,4.0,0.4105,0.0,4.65,5.85,1.05,3500000.0
PF,13.5,0.556,0.0,4.025,11.8,1.275,2029286.0
PF,15.125,0.4495,0.13,4.2875,13.5375,1.5375,4295833.125
PF,0.0,0.328,0.154,5.85,10.25,1.9,253522.0
PF,0.5,0.425,0.0,4.175,13.675,4.55,377269.5
SF,34.75,0.41775,0.3745,2.575,13.025,3.65,4491850.0
SG,0.0,0.167,0.167,4.9,4.9,1.6,59686.0
C,0.0,0.583,0.0,5.5,13.8,0.0,38172.0
SF,4.83333333333333,0.3895,0.332666666666667,4.2,13.5833333333333,1.85,1750938.66666667
SF,4.5,0.427,0.359,3.45,11.85,5.05,1431500.0
C,15.0,0.562,0.0,6.0,9.2,0.4,816482.0
SF,23.7142857142857,0.402857142857143,0.36,2.65714285714286,12.7857142857143,2.67142857142857,2482159.57142857
SG,13.0,0.362,0.407,4.0,8.3,5.3,816482.0
SF,65.8,0.4571,0.3253,1.73,15.99,2.41,8909858.5
SG,71.8333333333333,0.445666666666667,0.2465,2.61666666666667,18.1666666666667,2.46666666666667,4950961.66666667
SG,14.0,0.3255,0.2715,4.45,8.0,1.95,730043.5
PF,46.5,0.4987,0.3416,2.8,11.79,4.68,6474720.1
SG,0.0,0.25,0.0,0.0,10.0,2.0,56065.0
PG,3.66666666666667,0.382333333333333,0.365,4.8,11.7333333333333,5.96666666666667,2973308.0
PF,0.0,0.333,0.0,3.0,6.0,3.0,264897.0
PG,4.2,0.3656,0.33,2.58,10.34,5.02,1184594.2
C,32.0,0.502,0.5835,3.95,12.15,2.05,1383060.0
PG,1.0,0.302,0.185,4.2,11.5,8.2,700000.0
PF,3.0,0.427833333333333,0.0833333333333333,4.76666666666667,15.8333333333333,0.683333333333333,1666223.83333333
C,11.0,0.426875,0.0625,4.6125,4.45,1.2625,4798375.0
PG,13.5,0.4165,0.3705,3.2,14.425,3.875,2149599.5
C,3.66666666666667,0.444333333333333,0.0,5.2,9.26666666666667,0.966666666666667,2880000.0
PG,7.5,0.42875,0.357,3.075,13.175,3.8625,2813322.625
PF,6.5,0.50675,0.0,4.775,9.225,2.425,875013.0
PG,0.0,0.385666666666667,0.296,2.86666666666667,13.4,2.23333333333333,1333960.0
SG,10.6,0.3858,0.1956,2.88,11.3,2.16,604187.0
SG,7.83333333333333,0.393,0.325833333333333,3.73333333333333,13.4333333333333,4.18333333333333,1191622.33333333
PG,0.0,0.408,0.3,3.7,14.9,6.3,242374.0
SG,31.3333333333333,0.448333333333333,0.364833333333333,3.4,15.9833333333333,6.43333333333333,3769333.33333333
SG,1.0,0.367,0.214,2.9,13.4,2.4,1962103.0
PG,1.0,0.345,0.154,2.1,7.6,7.4,59686.0
C,57.6666666666667,0.581666666666667,0.166666666666667,4.03333333333333,15.0666666666667,0.733333333333333,2462360.0
SG,26.5,0.4675,0.3755,2.65,12.4875,2.25,2852253.5
PG,30.75,0.39625,0.355,2.0625,8.5875,5.975,3898600.0
C,74.4,0.5045,0.1265,2.38,19.62,3.42,16493555.9
SF,39.2222222222222,0.437333333333333,0.377666666666667,2.45555555555556,15.3888888888889,2.78888888888889,6230831.11111111
SF,0.0,0.3655,0.0,4.025,8.225,2.075,593785.75
SF,71.125,0.482875,0.37775,1.7875,25.8625,3.4,11063787.0
SF,7.0,0.355,0.262,3.2,11.7,2.0,507336.0
SF,5.0,0.385666666666667,0.224333333333333,2.9,13.2,1.16666666666667,763396.0
C,4.0,0.484,0.0,9.2,8.5,0.6,1000000.0
PG,0.0,0.33,0.31,3.1,9.2,6.3,5926984.0
SG,11.8333333333333,0.417833333333333,0.383666666666667,2.18333333333333,12.95,1.93333333333333,1659767.66666667
SG,59.9,0.4517,0.3062,2.47,19.04,4.64,7324358.1
C,17.7142857142857,0.438285714285714,0.0642857142857143,4.02857142857143,7.58571428571429,1.45714285714286,1653071.71428571
C,7.25,0.4795,0.0,4.85,10.725,1.6,1379483.0
SF,0.0,0.571,0.0,1.6,10.4,0.8,61433.0
SG,0.0,0.375,0.28,4.1,10.5,2.3,473604.0
SF,3.0,0.409,0.326,3.0,10.7,1.6,507336.0
PG,1.0,0.361,0.279,3.2,10.6,6.4,1590720.0
C,8.5,0.543,0.0,6.4,10.3,1.1,617899.5
SF,1.4,0.5994,0.08,4.14,12.16,1.8,1297159.8
SF,16.0,0.437285714285714,0.365571428571429,3.27142857142857,12.3571428571429,1.34285714285714,1940452.28571429
PF,20.6,0.4664,0.1,4.54,8.19,1.09,3041616.0
SG,57.5,0.446833333333333,0.2685,2.53333333333333,17.9666666666667,5.55,6326327.5
PG,4.0,0.392,0.3,3.15,9.2,3.85,557104.5
PG,41.0,0.349,0.314,2.9,7.8,3.9,3615000.0
SF,9.0,0.3325,0.304,2.75,8.75,1.55,1059240.0
C,24.0,0.4925,0.0,5.25,10.25,0.65,1066920.0
PF,66.75,0.5475,0.03125,3.625,16.4,1.375,1555232.0
PG,3.75,0.421125,0.376125,2.675,14.1375,5.325,1988732.625
SG,0.0,0.3095,0.25,3.15,11.65,5.7,179556.0
PF,38.2,0.509,0.0334,4.36,15.32,1.36,6434297.8
PF,0.0,0.561,0.0,3.3,14.3,1.5,427163.0
PG,62.3333333333333,0.41,0.323888888888889,2.33333333333333,13.4888888888889,6.47777777777778,4144863.44444444
SG,2.5,0.40325,0.354,2.175,13.525,3.425,1419130.75
C,1.75,0.48625,0.0,7.975,9.55,1.15,879375.0
SF,35.2,0.461,0.2584,2.0,9.18,2.44,3997159.8
SF,35.8,0.423,0.3858,1.54,12.86,2.0,12868049.8
SG,58.5,0.397875,0.369625,3.2375,11.6375,3.8125,5031038.375
PG,1.0,0.337,0.269,4.2,12.7,5.0,359858.0
PG,30.0,0.377666666666667,0.320666666666667,1.86666666666667,12.7666666666667,6.83333333333333,3192000.0
C,0.0,0.333,0.0,4.6,3.7,0.0,225341.0
SG,6.5,0.4335,0.3385,3.15,15.45,2.45,986802.0
PF,0.0,0.667,0.0,19.4,11.1,0.0,116711.0
PG,35.8571428571429,0.435142857142857,0.267142857142857,3.15714285714286,14.2857142857143,7.47142857142857,5625549.14285714
PG,0.0,0.344,0.231,1.9,13.3,3.8,42009.0
C,3.5,0.5145,0.0,9.3,10.2,0.25,6402330.0
C,23.4285714285714,0.504142857142857,0.183714285714286,5.01428571428571,7.72857142857143,1.88571428571429,5318928.57142857
SG,13.3333333333333,0.450666666666667,0.387,4.1,15.8,3.0,1422680.0
SG,42.7777777777778,0.405333333333333,0.371777777777778,2.97777777777778,15.0666666666667,4.02222222222222,3178489.0
C,19.5,0.5415,0.0,4.025,8.025,0.875,8414216.25
SG,1.0,0.38,0.3045,2.35,10.9,2.0,671533.5
PG,16.5,0.3705,0.3065,4.1,12.2,5.15,16285000.0
SG,0.0,0.5,0.5,11.1,8.3,8.3,183210.0
PG,3.0,0.344,0.294,3.9,8.6,9.0,110420.0
PG,1.75,0.4145,0.3605,2.525,16.15,3.825,2008150.75
